0.009,0,1,0.2,2
0.009,0,1.5,0.2,2
0.009,0,2,0.2,2
0.009,0,2.5,0.2,2
0.009,0,3,0.2,2
0.009,0,3.5,0.2,2
0.009,0,4,0.2,2
0.009,15,1,0.2,1.8
0.009,15,1.5,0.2,2
0.009,15,2,0.2,2
0.009,15,2.5,0.2,2
0.009,15,3,0.2,2
0.009,15,3.5,0.2,2
0.009,15,4,0.2,2
0.009,30,1,0.2,1.2
0.009,30,1.5,0.2,1.4
0.009,30,2,0.2,1.4
0.009,30,2.5,0.2,1.6
0.009,30,3,0.2,1.6
0.009,30,3.5,0.2,1.6
0.009,30,4,0.2,1.6
0.009,45,1,0.2,1
0.009,45,1.5,0.2,1
0.009,45,2,0.2,1.2
0.009,45,2.5,0.2,1.2
0.009,45,3,0.2,1.2
0.009,45,3.5,0.2,1.2
0.009,45,4,0.2,1.4
0.009,60,1,0.2,0.8
0.009,60,1.5,0.2,0.8
0.009,60,2,0.2,0.8
0.009,60,2.5,0.2,1
0.009,60,3,0.2,1
0.009,60,3.5,0.2,1
0.009,60,4,0.2,1
0.009,75,1,0.2,0.6
0.009,75,1.5,0.2,0.8
0.009,75,2,0.2,0.8
0.009,75,2.5,0.2,0.8
0.009,75,3,0.2,0.8
0.009,75,3.5,0.2,0.8
0.009,75,4,0.2,1
0.009,90,1,0.2,0.6
0.009,90,1.5,0.2,0.6
0.009,90,2,0.2,0.6
0.009,90,2.5,0.2,0.8
0.009,90,3,0.2,0.8
0.009,90,3.5,0.2,0.8
0.009,90,4,0.2,0.8
0.009,105,1,0.2,0.4
0.009,105,1.5,0.2,0.6
0.009,105,2,0.2,0.6
0.009,105,2.5,0.2,0.6
0.009,105,3,0.2,0.6
0.009,105,3.5,0.2,0.8
0.009,105,4,0.2,0.8
0.009,120,1,0.2,0.4
0.009,120,1.5,0.2,0.6
0.009,120,2,0.2,0.6
0.009,120,2.5,0.2,0.6
0.009,120,3,0.2,0.6
0.009,120,3.5,0.2,0.8
0.009,120,4,0.2,0.8
0.009,135,1,0.2,0.4
0.009,135,1.5,0.2,0.4
0.009,135,2,0.2,0.6
0.009,135,2.5,0.2,0.6
0.009,135,3,0.2,0.6
0.009,135,3.5,0.2,0.8
0.009,135,4,0.2,0.8
0.009,150,1,0.2,0.2
0.009,150,1.5,0.2,0.4
0.009,150,2,0.2,0.6
0.009,150,2.5,0.2,0.6
0.009,150,3,0.2,0.6
0.009,150,3.5,0.2,0.6
0.009,150,4,0.2,0.8
0.009,165,1,0.2,0.2
0.009,165,1.5,0.2,0.4
0.009,165,2,0.2,0.4
0.009,165,2.5,0.2,0.4
0.009,165,3,0.2,0.6
0.009,165,3.5,0.2,0.6
0.009,165,4,0.2,0.6
0.09,0,1,0.2,2
0.09,0,1.5,0.2,2
0.09,0,2,0.2,2
0.09,0,2.5,0.2,2
0.09,0,3,0.2,2
0.09,0,3.5,0.2,2
0.09,0,4,0.2,2
0.09,15,1,0.2,2
0.09,15,1.5,0.2,2
0.09,15,2,0.2,2
0.09,15,2.5,0.2,2
0.09,15,3,0.2,2
0.09,15,3.5,0.2,2
0.09,15,4,0.2,2
0.09,30,1,0.2,2
0.09,30,1.5,0.2,2
0.09,30,2,0.2,2
0.09,30,2.5,0.2,2
0.09,30,3,0.2,2
0.09,30,3.5,0.2,2
0.09,30,4,0.2,2
0.09,45,1,0.2,2
0.09,45,1.5,0.2,2
0.09,45,2,0.2,2
0.09,45,2.5,0.2,2
0.09,45,3,0.2,2
0.09,45,3.5,0.2,2
0.09,45,4,0.2,2
0.09,60,1,0.2,2
0.09,60,1.5,0.2,2
0.09,60,2,0.2,2
0.09,60,2.5,0.2,2
0.09,60,3,0.2,2
0.09,60,3.5,0.2,2
0.09,60,4,0.2,2
0.09,75,1,0.2,2
0.09,75,1.5,0.2,2
0.09,75,2,0.2,2
0.09,75,2.5,0.2,2
0.09,75,3,0.2,2
0.09,75,3.5,0.2,2
0.09,75,4,0.2,2
0.09,90,1,0.2,2
0.09,90,1.5,0.2,2
0.09,90,2,0.2,2
0.09,90,2.5,0.2,2
0.09,90,3,0.2,2
0.09,90,3.5,0.2,2
0.09,90,4,0.2,2
0.09,105,1,0.2,1.8
0.09,105,1.5,0.2,2
0.09,105,2,0.2,2
0.09,105,2.5,0.2,2
0.09,105,3,0.2,2
0.09,105,3.5,0.2,2
0.09,105,4,0.2,2
0.09,120,1,0.2,1.6
0.09,120,1.5,0.2,1.8
0.09,120,2,0.2,1.8
0.09,120,2.5,0.2,1.8
0.09,120,3,0.2,1.8
0.09,120,3.5,0.2,1.8
0.09,120,4,0.2,1.8
0.09,135,1,0.2,1.4
0.09,135,1.5,0.2,1.6
0.09,135,2,0.2,1.8
0.09,135,2.5,0.2,1.8
0.09,135,3,0.2,1.8
0.09,135,3.5,0.2,1.8
0.09,135,4,0.2,1.8
0.09,150,1,0.2,1.4
0.09,150,1.5,0.2,1.6
0.09,150,2,0.2,1.6
0.09,150,2.5,0.2,1.6
0.09,150,3,0.2,1.6
0.09,150,3.5,0.2,1.6
0.09,150,4,0.2,1.6
0.09,165,1,0.2,1.2
0.09,165,1.5,0.2,1.4
0.09,165,2,0.2,1.4
